geoid10,name10,district_name,hvi_score,hsi_score,hei_score
42101002100,21,South,0.63922385,0.50226232,-1.48142859
42101002200,22,South,-1.76931792,-3.18329765,-1.65846891
42101002300,23,South,-4.36277917,-6.8844025,-1.19357932
42101002400,24,South,-4.46261617,-7.10761774,-1.38230792
42101034803,348.03,Lower Far Northeast,-5.68446842,-7.83004182,-0.35861868
42101034702,347.02,Lower Far Northeast,-5.31161108,-7.55848159,-0.59141518
42101000401,4.01,Central,-2.83314834,-4.73594266,-1.87442882
42101036202,362.02,Lower Far Northeast,-5.1634878,-7.26268997,-0.02255419
42101003800,38,South,-4.41885758,-7.21922072,0.14799749
42101008302,83.02,West,4.33527635,5.88360815,0.83235034
42101017602,176.02,North,5.65296057,7.86657702,3.83026485
42101001002,10.02,Central,-7.19923183,-10.42964227,-2.0904977
42101001001,10.01,Central,-5.63483554,-8.11746497,-1.1670822
42101000402,4.02,Central,-4.64425806,-7.40431761,-0.85584806
42101019000,190,North,0.81180068,0.42896418,0.13028867
42101019100,191,North,1.44719978,1.44991395,2.20844908
42101019200,192,North,3.06055838,3.69901212,1.70516711
42101019700,197,North,5.06828282,6.63024907,2.76352581
42101019800,198,North,6.14958263,8.35759798,2.54929414
42101019900,199,North,5.44763124,7.47771338,2.80774432
42101020000,200,North,6.83660642,9.65433588,-0.35485364
42101020200,202,North,6.26712813,9.29013165,0.70113927
42101020300,203,North,6.31553839,9.01513067,1.36307213
42101020400,204,North,4.387879,6.1834705,1.29694825
42101020500,205,North,5.193561,7.44190205,2.00178719
42101002500,25,South,-3.42750964,-4.97923531,-1.17373777
42101002900,29,South,-3.86799758,-6.20002598,-0.52309164
42101010200,102,West,6.23263336,8.97061086,1.05096345
42101010300,103,West,4.15238754,5.97105533,0.16352973
42101010400,104,West,5.50361611,8.16801877,1.48073848
42101010500,105,West,8.16633932,12.17763897,4.44473772
42101010600,106,West,5.855747,8.79722989,2.83967899
42101010700,107,West,5.54068649,8.26701533,0.52280538
42101010800,108,West,4.00375609,6.18840548,0.68745838
42101010900,109,West,3.86573953,5.76739832,0.00360731
42101016000,160,River Wards,-5.63139428,-8.7465971,-1.12615626
42101011000,110,West Park,6.14588755,9.30836101,1.88498973
42101011100,111,West Park,4.55289406,6.75302443,0.17145418
42101011200,112,West,3.56234585,4.96056384,-0.00587793
42101011300,113,West,3.4473866,4.82835374,0.72562932
42101011400,114,West,2.64533468,4.02266192,0.05013526
42101015700,157,Lower North,-1.65742845,-2.88190386,-0.28890054
42101015800,158,River Wards,-6.43915309,-9.88573765,-1.77470502
42101001400,14,Central,-4.00174506,-6.32696474,-2.77156096
42101016100,161,River Wards,-1.51715542,-2.54120969,-0.59210764
42101016200,162,Lower North,5.67834684,8.50329972,2.46011769
42101016300,163,Lower North,6.15582963,8.95607266,4.04357543
42101016400,164,Lower North,5.2485502,7.49716517,3.18771664
42101016500,165,Lower North,7.45237966,11.20614152,2.38694277
42101020600,206,Lower Northwest,-3.10798444,-4.12398604,-0.79985127
42101001300,13,Central,-5.3838022,-8.55436745,-2.48323636
42101001500,15,Central,-5.68063522,-8.60858528,-2.31237044
42101001600,16,Central,-8.14584427,-12.47495621,-2.95395549
42101001700,17,Central,-8.14947144,-12.0739816,-2.67400914
42101001800,18,Central,-5.39065542,-8.22806945,-2.67225453
42101001900,19,Central,-6.25537452,-9.833807,-3.12685664
42101002000,20,South,1.47337343,1.66425579,-1.29539323
42101003100,31,South,1.92836717,2.40569224,-0.090013
42101010000,100,West,2.22400279,3.18045089,-0.34144315
42101010100,101,West,2.66975818,3.67840006,-0.27945904
42101005000,50,Lower South,,,
42101005400,54,Lower Southwest,-0.13232393,1.15288381,-0.13807682
42101030502,305.02,Lower Northeast,1.85237506,2.68404999,0.50139498
42101028800,288,North,4.18299397,5.44371762,2.41256481
42101005500,55,Lower Southwest,0.3286635,1.11547862,-0.28463935
42101005600,56,Lower Southwest,3.99302754,6.79278591,-0.87117252
42101006000,60,Lower Southwest,3.4491287,5.37028054,0.49120677
42101006100,61,Lower Southwest,1.69894745,2.69914964,0.67077349
42101006200,62,Lower Southwest,3.11958731,4.49332675,-1.14663135
42101006300,63,Lower Southwest,3.77470859,5.68261492,1.04080244
42101029000,290,Upper North,3.04227399,4.4174485,1.36945007
42101033600,336,Central Northeast,-3.39337572,-5.07426893,-0.42277805
42101033800,338,Central Northeast,-3.26311024,-4.68377174,0.19674651
42101033900,339,Central Northeast,-3.03022645,-3.91408207,0.56584359
42101000902,9.02,Central,-3.09328461,-4.51080536,-0.75065541
42101029100,291,Lower Northeast,4.77612569,6.58968302,2.82218052
42101033500,335,Central Northeast,0.16544898,-0.17659572,0.96480757
42101000901,9.01,Central,-4.59719108,-7.29553761,-4.46403735
42101034000,340,Central Northeast,-3.61475994,-4.87949927,0.75950525
42101034100,341,Central Northeast,-5.31871526,-7.54371691,-1.44589209
42101034200,342,Central Northeast,-2.74743848,-3.16453079,1.71768171
42101016901,169.01,Lower North,4.3998775,6.44502624,0.13402316
42101020700,207,Lower Northwest,-5.93562653,-8.36221877,-2.64970536
42101020800,208,Lower Northwest,-2.96694374,-3.38681938,-1.60258366
42101020900,209,Lower Northwest,-7.28989168,-10.5012246,-2.67349761
42101021000,210,Lower Northwest,-6.10906104,-8.90730909,-2.1651023
42101021100,211,Lower Northwest,-6.2309986,-8.92474696,-1.39896993
42101021200,212,Lower Northwest,-6.1590472,-8.62589788,-1.51331866
42101021300,213,Lower Northwest,-7.00832231,-10.22109681,-1.98481718
42101021400,214,Lower Northwest,-6.58957145,-9.59072592,-2.99208973
42101021500,215,Lower Northwest,-7.95001958,-11.2111259,-2.28214781
42101012204,122.04,West Park,1.48796218,2.64432417,1.21246289
42101012203,122.03,West Park,-0.93795401,-1.38069512,-1.01286939
42101013602,136.02,Central,-5.71924044,-8.7429866,-2.94643461
42101034501,345.01,Upper Far Northeast,1.11866576,2.03015279,2.78355535
42101034502,345.02,Upper Far Northeast,-2.07154669,-2.88181996,1.17804905
42101001102,11.02,Central,-5.44414009,-8.03080815,-4.3500457
42101017201,172.01,North,4.57466282,6.26142049,1.19159213
42101017202,172.02,North,6.12417509,8.81017458,2.15657226
42101027401,274.01,Upper North,3.1936553,4.23142419,1.59801972
42101020101,201.01,North,5.08683161,7.5203455,1.69746346
42101020102,201.02,North,3.86914492,5.18144283,0.29444258
42101031101,311.01,Lower Northeast,2.80558145,3.45392363,1.00760157
42101031102,311.02,Lower Northeast,1.89165657,2.27985982,-0.54717253
42101019502,195.02,North,4.34101113,5.66103864,3.90705775
42101019501,195.01,North,5.06818721,6.77119038,3.62792157
42101028901,289.01,North,2.50985308,3.06091543,1.60355997
42101028902,289.02,North,3.10015333,4.64236344,2.00449695
42101033101,331.01,North Delaware,-5.56604056,-8.44696377,-1.44882526
42101033102,331.02,North Delaware,-3.44987343,-4.91510744,-0.4115111
42101031501,315.01,North Delaware,-3.64443872,-5.60483356,0.02354857
42101016600,166,Lower North,1.95462514,2.82311411,0.08649377
42101016800,168,Lower North,4.94491413,7.42672488,1.29473197
42101003901,39.01,South,-1.78685826,-3.66602202,0.09885446
42101016902,169.02,Lower North,6.54923542,9.57429375,1.72604257
42101009400,94,West,6.75932667,9.66567484,1.51102985
42101009500,95,West,5.17092072,7.16661207,0.5775904
42101009600,96,West,4.32985139,6.04720884,0.99959022
42101013800,138,Lower North,2.68470698,4.02653601,-0.25163549
42101013900,139,Lower North,4.08491594,6.36047599,2.6476701
42101014000,140,Lower North,1.20738929,1.6663525,0.18024401
42101014100,141,Lower North,4.49338077,6.57597642,2.62702947
42101014200,142,Central,-7.34782204,-11.2844669,-3.45063836
42101014300,143,River Wards,-4.82698688,-7.42209978,-2.96520871
42101014400,144,Lower North,0.10305075,-0.1741944,-0.95942956
42101014500,145,Lower North,4.02905455,6.14987738,0.33762124
42101014600,146,Lower North,0.5199169,0.57496728,-1.05634448
42101014700,147,Lower North,-0.21318241,-0.44418246,-1.77863245
42101014800,148,Lower North,8.1449934,12.45080249,-0.18712626
42101014900,149,Lower North,6.9292799,10.36425445,1.8754434
42101015200,152,Lower North,5.88843074,9.03177737,0.54474965
42101015300,153,Lower North,0.11578412,-0.00473199,-1.7689768
42101015600,156,Lower North,3.13279226,4.64997576,2.50972859
42101024300,243,Upper Northwest,2.63737427,4.36075713,-0.68091672
42101024400,244,Upper Northwest,3.39047676,5.14905228,0.38257505
42101024500,245,Upper Northwest,6.42501621,9.98225085,0.94634233
42101024600,246,Upper Northwest,4.58113627,7.14257559,1.01815021
42101024700,247,Upper Northwest,3.36539172,5.33471366,0.81770917
42101024800,248,Upper Northwest,2.59541402,4.00386901,0.1628602
42101024900,249,Upper Northwest,5.41904008,7.89562211,1.06967593
42101025200,252,Upper Northwest,3.91752796,6.22317403,1.01858778
42101025300,253,Upper Northwest,1.8319051,3.17034096,-0.67660502
42101025400,254,Upper Northwest,0.88853604,1.80034867,-0.79273655
42101025500,255,Upper Northwest,-1.6571005,-1.61465579,-1.40841981
42101025600,256,Upper Northwest,-3.85072392,-4.64751202,-0.83203316
42101028300,283,Upper North,4.44490841,6.42291451,0.35600374
42101028400,284,Upper North,3.25400324,4.55850125,0.79937001
42101028500,285,Upper North,4.33666991,5.79270016,1.55862425
42101028600,286,Upper North,3.64016009,4.82427688,0.86424491
42101028700,287,North,2.28152959,2.44878049,1.1081796
42101980200,9802,Central Northeast,-0.59510669,0.62967548,5.16205097
42101034400,344,Upper Far Northeast,-4.99675927,-6.55286789,-0.04382143
42101034600,346,Lower Far Northeast,-1.70593847,-2.49669667,-0.05127715
42101006400,64,Lower Southwest,2.07764358,3.41675914,0.29892636
42101012100,121,West Park,1.73727201,3.35764747,0.7830894
42101013500,135,Central,-4.15433836,-6.34228214,-2.09687801
42101006500,65,University Southwest,3.46478903,5.86298113,0.07110632
42101006600,66,Lower Southwest,6.82149103,10.17698716,1.5015779
42101012500,125,Central,-4.59221175,-6.90818475,-2.64001365
42101003200,32,South,3.64611538,5.01474084,0.91132183
42101036301,363.01,Lower Far Northeast,-4.16559341,-6.05339504,0.07948536
42101013100,131,Central,0.25182253,0.50788517,-0.34554995
42101013200,132,Central,3.78086753,5.68615462,1.71218442
42101013300,133,Central,-1.57147599,-2.79783709,-3.07432538
42101036400,364,Upper Far Northeast,2.21460479,4.17299245,6.10310525
42101036600,366,Central,-5.74998903,-8.41825679,-2.20286789
42101030501,305.01,Lower Northeast,2.06606996,2.48864311,0.12762737
42101013700,137,Lower North,1.71596109,2.29314448,-1.92616775
42101017000,170,North,-0.17989224,-0.19281842,-0.75953773
42101017100,171,North,3.79060398,5.71032676,0.44910927
42101029300,293,Lower Northeast,3.26336278,4.45463492,1.39400547
42101029200,292,Lower Northeast,0.6965317,1.52347552,0.68670803
42101029400,294,Lower Northeast,5.05721919,7.127228,3.72393719
42101029800,298,Lower Northeast,1.52665878,2.14233856,-0.22284455
42101033300,333,Central Northeast,-1.38623476,-2.0237078,2.14880384
42101033400,334,Central Northeast,-0.03602686,-0.42381666,2.02185908
42101000600,6,Central,-6.59014617,-10.3259091,-4.32954264
42101000700,7,Central,-4.79239943,-7.7236078,-2.72198568
42101003300,33,South,2.34574849,3.23822585,0.72305153
42101003600,36,South,5.02174378,7.2313356,2.16048118
42101003701,37.01,South,1.94928746,2.15061586,0.00997921
42101003702,37.02,South,1.69042358,1.72045115,0.72802452
42101004101,41.01,South,4.6,6.22377134,2.95590763
42101004002,40.02,South,-3.32417016,-5.88119956,0.10869246
42101003902,39.02,South,-4.6506281,-7.45346533,-0.07441019
42101004001,40.01,South,-2.07256281,-3.96212407,0.72159735
42101004102,41.02,South,2.31169899,2.89792029,2.36241108
42101004202,42.02,South,-1.5976083,-2.87621651,1.19532431
42101030700,307,Central Northeast,-1.2010623,-1.63281873,0.03490741
42101030800,308,Central Northeast,-2.43926329,-3.41256512,0.42268401
42101030900,309,Lower Northeast,0.72747124,0.93129382,0.68936596
42101031000,310,Central Northeast,-0.09929078,-0.30127038,1.2012064
42101031200,312,Lower Northeast,1.93575128,2.44476551,0.49419949
42101031300,313,Lower Northeast,1.76486675,2.25547435,1.85365189
42101031600,316,North Delaware,-1.80532824,-3.02503984,0.49379454
42101031700,317,North Delaware,-1.20120269,-1.89858497,-0.32706743
42101033702,337.02,Central Northeast,-2.50833257,-3.34928824,0.85596096
42101031502,315.02,North Delaware,-0.34715561,-0.73691768,1.03740422
42101031401,314.01,Central Northeast,1.64234557,1.87026192,2.02340605
42101036303,363.03,Lower Far Northeast,-6.4361233,-8.78542091,-0.37911776
42101034701,347.01,Lower Far Northeast,-2.38796713,-3.30902691,0.23440296
42101034802,348.02,Lower Far Northeast,-3.20515423,-4.30576467,-0.86618162
42101031402,314.02,Central Northeast,4.56,3.46606962,2.50783342
42101016701,167.01,Lower North,4.78018553,7.03202551,0.89317313
42101016702,167.02,Lower North,5.02673057,7.23274392,1.19055261
42101017300,173,North,6.67063689,9.69385722,0.03571326
42101017400,174,North,5.50620408,8.06034327,2.02866019
42101017500,175,North,6.06518313,8.55741462,4.18198742
42101017800,178,River Wards,2.44417458,3.27572665,1.99936264
42101017900,179,River Wards,0.40420539,0.33656496,0.43356899
42101018300,183,River Wards,-6.26284237,-9.29177364,-0.44170863
42101018400,184,River Wards,-5.32470007,-8.19821994,-1.20174478
42101018800,188,River Wards,3.08242923,4.00764364,1.74887702
42101008200,82,West,3.19911036,4.74809351,0.68850287
42101021600,216,Lower Northwest,-6.06767138,-8.01363014,-2.13879627
42101024100,241,Upper Northwest,6.17502225,9.44555552,3.72948228
42101024200,242,Upper Northwest,3.86247921,6.07872087,-0.72244302
42101004201,42.01,South,-3.7052089,-6.01187803,-0.33698218
42101007900,79,University Southwest,-4.28681928,-6.41184143,-2.53368223
42101008000,80,West,2.33363595,3.12739947,-1.05936723
42101017601,176.01,North,7.18890088,10.24000777,4.46384621
42101011700,117,West Park,-2.94766608,-3.79168156,-1.8381249
42101008301,83.01,West,5.10387584,7.70030661,2.07474453
42101008400,84,West,3.97728947,5.10465616,0.29783097
42101008500,85,West,4.42433583,5.86310667,0.93516625
42101009000,90,University Southwest,-4.43436056,-6.6094646,-2.55654677
42101009100,91,University Southwest,2.15760116,3.17898048,0.18217011
42101009200,92,University Southwest,2.98769394,4.47797124,-0.90402976
42101009300,93,West,3.53782131,4.99367951,-0.55266034
42101006700,67,Lower Southwest,3.41372228,5.23402559,-0.87083234
42101006900,69,Lower Southwest,5.55742973,8.98156156,0.9866651
42101007000,70,University Southwest,3.60845026,5.11689537,1.23952882
42101007200,72,University Southwest,5.17391425,7.52756862,1.36692659
42101007300,73,University Southwest,2.06146756,2.79728999,-0.19967873
42101007400,74,University Southwest,3.87516187,5.61917493,-0.03322367
42101007700,77,University Southwest,-1.43586507,-2.03748896,-2.59046509
42101007800,78,University Southwest,-2.1720773,-3.14393964,-2.09519232
42101011500,115,West,0.53101217,0.71188849,-1.30900086
42101011800,118,West Park,3.01954,4.41695081,0.53067949
42101011900,119,West Park,3.94893557,6.03092337,0.11140392
42101012000,120,West Park,-2.01963048,-2.29431601,-1.54763806
42101027000,270,Upper North,1.08439635,1.86655006,-0.94431984
42101027100,271,Upper North,2.89754164,4.07335333,1.90537821
42101027200,272,Upper North,1.05183544,1.55019072,-0.9173615
42101980000,9800,West Park,-7.906208,-10.7981167,-3.88186471
42101026900,269,Upper North,1.09468156,2.04065352,1.05189435
42101000804,8.04,Central,-6.30745061,-9.86140869,-2.38157148
42101027300,273,Upper North,1.14237481,1.21101709,-0.04686752
42101027500,275,Upper North,1.3817359,1.83150084,-0.48695974
42101027600,276,Upper North,3.03001898,4.09851278,-0.70356211
42101027700,277,Upper North,5.90033564,8.4895359,2.65635627
42101027800,278,Upper North,4.15577353,5.793403,1.07039539
42101001202,12.02,Central,-6.59327455,-10.17783072,-3.20922801
42101034900,349,North Delaware,-1.82950313,-2.15961143,-0.18587325
42101035100,351,North Delaware,-3.20286636,-4.07033936,1.68730564
42101035200,352,North Delaware,-5.33539767,-7.08847248,-0.63504011
42101035301,353.01,Lower Far Northeast,-6.14200512,-8.4339832,-0.96991377
42101026301,263.01,Upper North,2.90872358,4.12907415,-0.02371847
42101021700,217,Lower Northwest,-6.31351073,-8.65886379,-0.95053871
42101021800,218,Lower Northwest,-4.17594214,-5.24520303,-2.55554209
42101021900,219,Lower Northwest,-6.94340163,-8.90140506,-1.72213918
42101022000,220,Lower Northwest,-4.87365023,-5.6111782,0.80161304
42101980100,9801,Lower Northwest,-5.58091181,-6.62296735,-0.17931901
42101023900,239,Upper Northwest,1.25171322,3.08195652,-0.16779568
42101023100,231,Upper Northwest,-8.35368055,-11.21999072,-1.50078434
42101023500,235,Upper Northwest,-5.0582113,-6.14693677,-0.7627581
42101023600,236,Upper Northwest,-3.90475557,-4.63893358,-0.56535793
42101023700,237,Upper Northwest,-1.87257159,-1.87278541,-0.99117371
42101023800,238,Upper Northwest,-1.02045609,-0.8443749,-1.2336789
42101024000,240,Upper Northwest,-1.31303122,-1.57671169,-1.44795695
42101025700,257,Upper Northwest,-3.24000514,-4.09968941,-1.77557928
42101025800,258,Upper North,1.1789954,2.58723726,-0.192566
42101025900,259,Upper North,2.18922654,3.25973279,-1.12199903
42101009802,98.02,West Park,0.73484394,1.29884016,-1.40562125
42101018001,180.01,River Wards,-4.32601905,-6.50889673,-0.81669272
42101017702,177.02,North,6.17916403,8.60915257,3.88763228
42101017701,177.01,North,3.73703533,4.78651389,1.59638104
42101035602,356.02,Upper Far Northeast,-5.04819312,-6.96324991,0.00169271
42101035701,357.01,Upper Far Northeast,-0.19079626,0.12311925,2.35217583
42101035702,357.02,Upper Far Northeast,-2.0293248,-2.21519876,1.46877327
42101035601,356.01,Upper Far Northeast,-2.29852689,-2.70217909,2.66717482
42101015101,151.01,Lower North,5.1738151,7.73903818,0.84419206
42101015102,151.02,Lower North,6.11393485,9.31603306,2.33306106
42101036501,365.01,Upper Far Northeast,-3.42282251,-4.37498392,0.87779564
42101980400,9804,Lower Southwest,,,
42101013402,134.02,Central,-6.29920879,-9.52878964,-4.01666762
42101013401,134.01,Central,-5.56529787,-8.44248452,-0.82600986
42101013601,136.01,Central,-7.27615146,-11.09812863,-2.85289838
42101037900,379,River Wards,-3.66966892,-5.72071412,0.57896409
42101038200,382,River Wards,0.57571673,0.31718455,-0.1078215
42101038000,380,River Wards,-1.16524097,-2.16011838,0.87471064
42101000100,1,Central,-7.51458514,-11.40280698,-3.31446979
42101038100,381,North Delaware,0.04974259,0.13138155,0.19188446
42101038400,384,Lower Northwest,-5.8521923,-7.29728842,-0.03620697
42101000200,2,Central,0.94675523,0.72417105,-0.71934574
42101000300,3,Central,-5.43949107,-8.37053294,-2.10359515
42101000500,5,Central,-0.96403119,-2.02628325,-2.14378573
42101027901,279.01,Upper North,3.02559228,4.26503789,0.42491389
42101027902,279.02,Upper North,-0.56705797,-0.52604206,-1.36006786
42101008101,81.01,West,4.57457417,6.42926026,1.02034713
42101007102,71.02,University Southwest,4.77106429,6.89504031,0.83789355
42101008601,86.01,University Southwest,-2.70721027,-4.23053296,-2.76764591
42101008802,88.02,University Southwest,0.40552242,0.34476199,-4.779247
42101008702,87.02,University Southwest,-4.15147855,-6.45865976,-3.70110298
42101008701,87.01,University Southwest,-4.63154884,-7.10214075,-2.60068223
42101008102,81.02,West,5.67833423,7.66404911,0.89388396
42101008602,86.02,University Southwest,2.40395342,3.05050045,-0.81322428
42101037500,375,West Park,-2.74632908,-3.36676338,-1.69480065
42101000801,8.01,Central,-6.49776845,-9.82990268,-4.21202411
42101001101,11.01,Central,-4.92075212,-7.36243613,-3.01530117
42101027402,274.02,Upper North,2.37208838,2.88940039,0.42581362
42101036502,365.02,Upper Far Northeast,-6.4652541,-8.86551348,-0.53329857
42101036700,367,Central,-5.60115907,-8.85752264,-4.17754242
42101037600,376,Central,-0.80294335,-1.70753582,-2.09725277
42101038700,387,Upper Northwest,-5.65236441,-7.04220032,-0.80341072
42101038600,386,Upper Northwest,-6.17628087,-7.64806685,-1.10899113
42101038500,385,Upper Northwest,-6.10957956,-7.72181119,-1.11748335
42101029900,299,Lower Northeast,2.86623005,4.19712004,0.25887754
42101038800,388,Upper Northwest,-4.62366484,-5.708013,-1.16144462
42101038900,389,Upper Northwest,2.66974708,4.58530435,0.77122787
42101037300,373,Lower South,-5.48451964,-7.66934173,-0.25536765
42101037200,372,South,-1.77485997,-2.81900072,1.41645485
42101980600,9806,Lower South,,,
42101033701,337.01,Central Northeast,-0.52735066,-0.67434969,3.0264368
42101026000,260,Upper North,1.41248875,2.26048281,-0.40494493
42101026100,261,Upper North,3.51319449,5.51867327,0.99473986
42101026200,262,Upper North,2.23933569,3.47225032,-0.0800984
42101034801,348.01,Lower Far Northeast,-4.8694087,-6.86701154,0.29597826
42101026302,263.02,Upper North,2.84985773,3.88585918,0.25813945
42101026400,264,Upper North,2.70495004,4.01935714,0.3703008
42101026500,265,Upper North,2.84818734,3.98032661,0.5248464
42101026600,266,Upper North,3.1751648,4.70579602,0.15194874
42101026700,267,Upper North,4.6345838,6.34344383,1.0079473
42101026800,268,Upper North,2.83833464,4.21751169,0.33247314
42101030000,300,Lower Northeast,2.95802237,4.25037041,0.4908422
42101030100,301,Lower Northeast,1.8109598,2.67608815,-0.35642963
42101030200,302,Lower Northeast,0.89625276,1.10627259,-0.10889848
42101030600,306,Lower Northeast,-1.26995808,-1.81426704,0.54919599
42101038300,383,North,2.82279857,3.50974947,0.84469134
42101028200,282,Upper North,4.400811,6.15299483,-0.20215323
42101039000,390,Lower Northeast,2.01400552,2.43205327,0.64113892
42101037800,378,River Wards,-5.04948386,-7.23432864,-0.70063602
42101037700,377,Lower North,-0.267411,-0.50116536,-1.20614789
42101028000,280,Upper North,4.67267892,6.74160556,0.97494354
42101028100,281,Upper North,2.36298396,3.30038445,0.27904367
42101031800,318,Lower Northeast,1.60243303,2.14373603,0.08954196
42101031900,319,North Delaware,-1.45546143,-1.82506504,-0.09295981
42101032000,320,North Delaware,-3.24581531,-4.89458478,-0.23702033
42101032100,321,North Delaware,-0.41584522,-0.44003523,-0.86113291
42101032300,323,North Delaware,-2.10372082,-2.80905431,-0.79505472
42101032500,325,North Delaware,-1.30020922,-1.63124814,0.31226459
42101032600,326,North Delaware,-2.60636773,-3.82694817,-0.85373864
42101989100,9891,North Delaware,3.94959278,7.01296077,0.0
42101032900,329,North Delaware,-2.32715135,-3.09075039,0.29129226
42101033000,330,North Delaware,-2.11339582,-3.3247929,-0.02542688
42101036000,360,Upper Far Northeast,-0.56952061,-1.14982958,2.18912676
42101033200,332,North Delaware,-4.23379948,-5.99786498,-0.32025262
42101980300,9803,Lower Far Northeast,,,
42101035500,355,Upper Far Northeast,-1.54368735,-1.94240794,1.5941654
42101035800,358,Upper Far Northeast,-2.91564444,-3.58910523,1.26463302
42101035900,359,Upper Far Northeast,-2.67835416,-3.34479279,2.03060408
42101036100,361,Lower Far Northeast,-3.71896942,-4.96914581,-0.80554253
42101036203,362.03,Lower Far Northeast,-6.04888368,-8.32378658,-0.77764527
42101036201,362.01,Lower Far Northeast,-5.31892391,-7.38265783,-0.23245011
42101036302,363.02,Lower Far Northeast,-4.68659382,-6.57890646,-0.68509821
42101002802,28.02,South,-2.91896364,-5.05027021,-0.20994911
42101035302,353.02,Lower Far Northeast,-5.04444407,-6.90868044,-0.31725978
42101002801,28.01,South,-1.38189265,-2.61251474,0.24916975
42101036900,369,University Southwest,-4.45059977,-6.7888631,-2.68695889
42101001201,12.01,Central,-7.23059613,-10.91630523,-2.78232683
42101000803,8.03,Central,-6.15555813,-9.27443487,-2.33705469
42101980900,9809,Lower Southwest,,,
42101002702,27.02,South,-5.41794165,-8.2804413,-1.45734148
42101003002,30.02,South,0.88907469,0.88545796,0.03512359
42101003001,30.01,South,-0.5564442,-1.57387933,0.2028533
42101980500,9805,North,,,
42101980700,9807,South,,,
42101002701,27.01,South,-1.43445842,-2.43797057,0.13199816
42101980800,9808,West Park,,,
42101018002,180.02,River Wards,-2.74630753,-4.60605617,0.09470831
42101008801,88.01,University Southwest,-3.14957241,-5.18433448,
42101012201,122.01,West Park,1.0881402,1.9515428,0.30130839
42101009801,98.01,West Park,0.45812621,0.75861822,-1.3477514
42101007101,71.01,University Southwest,5.87833651,8.63184645,2.54043708
